,Name,Album,Artist,Link,Image
83,Kite,Kite,Benjamin Ingrosso,null,https://i.scdn.co/image/ab67616d0000b27384c00ac378d2bd0a147250d7
84,AOK,TV,Tai Verdes,https://p.scdn.co/mp3-preview/19112a946bbfa798cbd575c202db842a49921c2e?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2738af9053a02067f1ac65e8f62
85,THE GIRLS - BLACKPINK THE GAME OST,THE GIRLS (BLACKPINK THE GAME OST),BLACKPINK,https://p.scdn.co/mp3-preview/399f47f6915ecbeb449cc3794f0f8140c7904a5e?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273a2ef2c1c668b6fdb1f346dd1
86,Hot In It (feat. Charli XCX),DRIVE,Tiësto,https://p.scdn.co/mp3-preview/e0deb5ab5c14c3fdc54fb8aea726ece21d8229ef?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273cf8c47967e5c6bbc7dca5abb
87,Fancy Like,Country Stuff The Album,Walker Hayes,https://p.scdn.co/mp3-preview/c69e547d9f87c936d8f1cbaca921e0593db43572?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273cc1ed62132516aabf6ef8751
88,In The City,In The City,Charli XCX,https://p.scdn.co/mp3-preview/085ddf5e7e18da772df0c9f9314353d2f0dcb072?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27312ca03448e4f565f0e45d837
89,This Feeling,Sick Boy,The Chainsmokers,https://p.scdn.co/mp3-preview/53d7779c4b67ff499c2b392185999255269760f0?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2738e26bf4293c9da7a6439607b
90,Sweetest Pie,Sweetest Pie,Megan Thee Stallion,https://p.scdn.co/mp3-preview/a9097ac4a504d37508dad964e42e967794d88424?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2738364ea7b6e54e63c82c568cf
91,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),Ed Sheeran,https://p.scdn.co/mp3-preview/7339f908427088d58a75f5ea674df5659a4b184c?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273358f874d5d31e76a8fe3f6d0
92,2 Be Loved (Am I Ready),Special,Lizzo,https://p.scdn.co/mp3-preview/d8547bb88b7fff366d43a27961d772c105d934e4?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273fe3b1b9cb7183a94e1aafd43
93,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,null,https://i.scdn.co/image/ab67616d0000b273c8583f0bd97d3042d4971acf
94,What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,null,https://i.scdn.co/image/ab67616d0000b2737a73cc006248544e1a9882ea
95,Head Shoulders Knees & Toes (feat. Norma Jean Martine),I,Ofenbach,https://p.scdn.co/mp3-preview/2f651d8a0219330e6b92b822ed9166ed950cb323?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2739433432ccc03bf5e6b7837d2
96,Higher Power,Higher Power,Coldplay,https://p.scdn.co/mp3-preview/53a3f14e6e624bcd50d057a86dc54d7419216e6e?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273b1092c02972b0bfd91703f75
97,Iko Iko (My Bestie),Iko Iko (My Bestie),Justin Wellington,https://p.scdn.co/mp3-preview/80481173118041f19f77f59e02317186e852aa6f?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2730953bc41694626f776e47ea5
98,Jerusalema (feat. Nomcebo Zikode),Jerusalema,Master KG,https://p.scdn.co/mp3-preview/5faf9f944f782010fac00d017cfbb34139044264?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2735206b258d1a6f0689577fe58
99,So Am I,Heaven & Hell,Ava Max,https://p.scdn.co/mp3-preview/e07386f9f699fbb4175b9e96002431c0823fe667?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7
